,nm1_DT,nm1_LGBM,nm1_XGBoost,nm1_RF,nm1_ET,nm1_GBDT,nm1_AB,nm1_SVM,nm1_MLP,nm1_LR,nm1_AB,nm1_voting_clf,nm1_stacking,nm1_Two_eclf,nm1_voting_clf,nm2_DT,nm2_LGBM,nm2_XGBoost,nm2_RF,nm2_ET,nm2_GBDT,nm2_AB,nm2_SVM,nm2_MLP,nm2_LR,nm2_AB,nm2_voting_clf,nm2_stacking,nm2_Two_eclf,nm2_voting_clf,nm3_DT,nm3_LGBM,nm3_XGBoost,nm3_RF,nm3_ET,nm3_GBDT,nm3_AB,nm3_SVM,nm3_MLP,nm3_LR,nm3_AB,nm3_voting_clf,nm3_stacking,nm3_Two_eclf,nm3_voting_clf,rus_DT,rus_LGBM,rus_XGBoost,rus_RF,rus_ET,rus_GBDT,rus_AB,rus_SVM,rus_MLP,rus_LR,rus_AB,rus_voting_clf,rus_stacking,rus_Two_eclf,rus_voting_clf,cc_DT,cc_LGBM,cc_XGBoost,cc_RF,cc_ET,cc_GBDT,cc_AB,cc_SVM,cc_MLP,cc_LR,cc_AB,cc_voting_clf,cc_stacking,cc_Two_eclf,cc_voting_clf,smotee_DT,smotee_LGBM,smotee_XGBoost,smotee_RF,smotee_ET,smotee_GBDT,smotee_AB,smotee_SVM,smotee_MLP,smotee_LR,smotee_AB,smotee_voting_clf,smotee_stacking,smotee_Two_eclf,smotee_voting_clf,smote_DT,smote_LGBM,smote_XGBoost,smote_RF,smote_ET,smote_GBDT,smote_AB,smote_SVM,smote_MLP,smote_LR,smote_AB,smote_voting_clf,smote_stacking,smote_Two_eclf,smote_voting_clf
ACC,0.690843241765751,0.742591225912259,0.7492633593002598,0.7566434331009977,0.75813311466448,0.742596692633593,0.7196610632772994,0.7522153888205549,0.7322509225092251,0.7499849665163318,0.7196610632772994,0.7522126554598879,0.7514691813584803,0.7596145961459614,0.7522126554598879,0.6693972939729398,0.7655077217438842,0.7780893808938091,0.7684925515921825,0.7670056033893673,0.7640317069837366,0.7211261445947793,0.766289462894629,0.7463085964192975,0.7433511001776685,0.7211261445947793,0.7766078994123274,0.7766078994123274,0.7692168921689216,0.7766078994123274,0.6709090909090909,0.7490909090909091,0.740909090909091,0.7481818181818183,0.7309090909090908,0.7336363636363636,0.6890909090909091,0.7463636363636363,0.7218181818181818,0.7281818181818182,0.6890909090909091,0.7472727272727273,0.7390909090909091,0.7427272727272728,0.7472727272727273,0.7507448407817411,0.8195271286046195,0.8158179581795817,0.8135848025146919,0.8202569359026924,0.8039797731310646,0.7396282629492961,0.7840043733770672,0.807694410277436,0.7973131064643979,0.7396282629492961,0.8172912395790626,0.8209922099220993,0.8232062320623207,0.8172912395790626,0.6922755227552276,0.7581139811398114,0.752209922099221,0.7492524258575919,0.7633100997676643,0.7418778187781878,0.6886018860188601,0.7603744704113709,0.7344758780921142,0.7514883148831488,0.6886018860188601,0.7640453737870713,0.7581276479431461,0.7655323219898864,0.7640453737870713,0.8361957921854872,0.9473379132674967,0.9371296693860026,0.9430012881064835,0.9546908544439672,0.9503005581794761,0.9151781880635467,0.9429905538857879,0.9590918849291541,0.9415199656504939,0.9151781880635467,0.9502898239587806,0.9532202662086732,0.9576105624731645,0.9502898239587806,0.6601194426011944,0.7598168546781686,0.7627392169873921,0.7685441274054412,0.7569104180491042,0.7554505640345056,0.7154266755142668,0.7569289980092899,0.7430842733908427,0.7503888520238885,0.7154266755142668,0.762728599867286,0.7663702720637027,0.7561831453218315,0.762728599867286
F1,0.6913732513443087,0.731498246802936,0.7421403026796314,0.7450251041412578,0.7450261698400032,0.7382648013981827,0.7096563711811896,0.7371405479182125,0.7311337965058385,0.7448956967305603,0.7096563711811896,0.7435160379878878,0.7397326091612176,0.7497851932885385,0.7435160379878878,0.6691977574655428,0.7564875180262718,0.7710204692160745,0.7556226828099882,0.7554997099936497,0.7541903682921272,0.7143119216310005,0.7531789768532849,0.7450079770618322,0.7384774241305029,0.7143119216310005,0.7668047072618471,0.7672283130666543,0.7616655728997594,0.7668047072618471,0.73478359466007,0.7985783360850292,0.7928303114601434,0.8000032969756281,0.7859056717776692,0.7891510049314008,0.7460708099126474,0.8004312462234389,0.7747143808982411,0.7818808328204996,0.7460708099126474,0.7991291482141462,0.7968077777520194,0.7982343781099626,0.7991291482141462,0.7422959298407166,0.8118484442077888,0.8101147252816032,0.8050677214373693,0.8157157890374279,0.7921267627898427,0.7331881645659425,0.7672316070942878,0.7974394147548644,0.7877209400414247,0.7331881645659425,0.8098380788767805,0.8136971786687053,0.8177805732058383,0.8098380788767805,0.6897705617909827,0.7494797776144679,0.7407322682255455,0.7322361243307368,0.746220594658181,0.7291687525737476,0.6845088330712453,0.743332028636487,0.7292353321406473,0.7433242767943906,0.6845088330712453,0.7504799623981633,0.7442434633217923,0.7515632537649244,0.7504799623981633,0.848068013471539,0.9522234739146589,0.9423535784282053,0.9468387266212094,0.9577911286821585,0.953780450457893,0.9225908080059304,0.9468500203569707,0.9617637328759997,0.9465426275474567,0.9225908080059304,0.9543021743992706,0.956820904547709,0.9610714621502051,0.9543021743992706,0.6610017978789413,0.7526817257753967,0.7557735800165719,0.7575817823648592,0.7418236013176868,0.74542432903862,0.7123902263623453,0.7392190849499688,0.7407668926169985,0.7469698200177955,0.7123902263623453,0.7534700359171994,0.755058114146183,0.7469451125455563,0.7534700359171994
F2,0.6921347376079785,0.7144660824264326,0.7304828816971467,0.7244737931317246,0.7219958823498756,0.7332120223206589,0.6959628608013206,0.7124456907250836,0.7299326990885935,0.7369193197114384,0.6959628608013206,0.7298672554106178,0.7211561957400121,0.7321127449960281,0.7298672554106178,0.6692563735298562,0.7404372622270273,0.7579605944555183,0.7324051900982308,0.7348702907110027,0.7370255203112693,0.7052042408109731,0.7296121812239306,0.7443155215286683,0.7310522578803799,0.7052042408109731,0.7482853201644435,0.7495306374826805,0.747440458547307,0.7482853201644435,0.7401032978916465,0.804618841237518,0.7997273804963618,0.8113407192700803,0.7959060524157274,0.8024286794732269,0.7445562387932491,0.8175513078955248,0.774683323031544,0.7882576363368962,0.7445562387932491,0.8100339049270883,0.8169161739578182,0.8148938436827832,0.8100339049270883,0.7281312212168073,0.7928651638591504,0.796585757143274,0.7841592745100482,0.8038689503943335,0.7651707840414347,0.7219158928929685,0.732891864029002,0.773114295513541,0.7662924508140863,0.7219158928929685,0.7919388953957156,0.7954781807261565,0.8029065057200654,0.7919388953957156,0.6873313531904244,0.7350134458281387,0.7216026190315687,0.7047442157087211,0.7171493684627566,0.7096921176839243,0.6799866863022778,0.7135758802141796,0.7221059581890572,0.73020635806583,0.6799866863022778,0.7271028495140982,0.7211620929394625,0.7269153787783436,0.7271028495140982,0.8431348260836277,0.9492201474011219,0.9444306023583241,0.9429966930990983,0.9524835883990814,0.9522923799804589,0.9220648594511742,0.9402632842746093,0.9591259289284672,0.9484701232276697,0.9220648594511742,0.9527362942552576,0.953839969656585,0.9621881908204939,0.9527362942552576,0.6624132898395159,0.7391691389201167,0.7430134794072765,0.7376245433216835,0.716144731138754,0.7283013357572644,0.7077395030061331,0.7087268469863666,0.7384995800384658,0.7419864029694095,0.7077395030061331,0.7368335408525365,0.7347707620289728,0.7309460445443079,0.7368335408525365
GMean,0.6906359427846832,0.7409117976720077,0.7482047814470442,0.7552209730249143,0.7564769648333737,0.7416163992472866,0.7176632115836279,0.7500520473023427,0.7314866286042218,0.7492010812439667,0.7176632115836279,0.7505228281292969,0.7494571172068543,0.7586895489382817,0.7505228281292969,0.6693705503424716,0.764773118327767,0.7769411717882917,0.7670380095272143,0.7657201494147892,0.7631618985058146,0.7206336190782408,0.7646399106500257,0.7463502941116922,0.7430972902756117,0.7206336190782408,0.7754135191143126,0.7755326834254437,0.7689949116416787,0.7754135191143126,0.6420364112353785,0.7265293836958271,0.716158128289422,0.7204834383841101,0.7027730996668833,0.7022943656467648,0.6681302950641486,0.7127924983115431,0.7009454750209339,0.702829155428159,0.6681302950641486,0.7196226072229264,0.7003976614824691,0.708409882670324,0.7196226072229264,0.7500427152009607,0.8184996706025613,0.8148557089219928,0.8128552348157557,0.8200540880803237,0.8018517520519381,0.7389546837932457,0.7807888215914254,0.8059509218368973,0.7958836839528152,0.7389546837932457,0.8161387626493724,0.8200651218972197,0.8228407258073179,0.8161387626493724,0.6921752792135557,0.7571204931895178,0.7509589009730437,0.7466641680060604,0.7599596000844283,0.7393601317006776,0.6881081202047007,0.7573258133884261,0.7342569239712329,0.7505047489576031,0.6881081202047007,0.7620011074280731,0.7558893454579914,0.763445238900265,0.7620011074280731,0.8354039315812025,0.9457988276929825,0.934283838063102,0.9421257415668199,0.9546867609822283,0.9496532577916801,0.9114000357200311,0.9428276358656837,0.9594094790637296,0.9404037491334041,0.9114000357200311,0.9489173970828071,0.9525597189356152,0.9566826415456932,0.9489173970828071,0.6601356343564315,0.7588105762524391,0.7621917257113104,0.7669345950302293,0.7543271051045016,0.7538033456582725,0.7151558615296141,0.7538848573864771,0.741586887825835,0.7501683664289012,0.7151558615296141,0.7616867909938877,0.7648513481412715,0.7553128026768015,0.7616867909938877
SEN,0.6929598733248368,0.70376596662855,0.7232442207815105,0.7115934136975076,0.7075630479280115,0.7302508987656561,0.6876224395043817,0.6973132406106065,0.7294029442236362,0.7319844880016255,0.6876224395043817,0.7214577047011195,0.7096173550346828,0.7210224519301003,0.7214577047011195,0.6694636959124424,0.730332304013675,0.7497590250176731,0.7178805082454718,0.7218363364951751,0.7261446017809077,0.6995138353659458,0.7148016166867326,0.7440687007903763,0.7264597784527966,0.6995138353659458,0.7365430139755751,0.7382789204401391,0.7386391823205533,0.7365430139755751,0.7437263141269426,0.8088344825579703,0.804643865052349,0.8193130421410075,0.802936487154869,0.8117969467615971,0.7436313835999618,0.8296578510954002,0.7752176045420349,0.7929388562617156,0.7436313835999618,0.817639829258054,0.8311259076380836,0.8266590190235122,0.817639829258054,0.7190859372769877,0.7807183072813031,0.7878478151724739,0.7710044682212247,0.7962411865553726,0.7482876688176593,0.7148006931535971,0.7119757564156168,0.7578662522521614,0.7530597156525433,0.7148006931535971,0.780463412135897,0.7838188263069253,0.7934162498173922,0.780463412135897,0.6860074822975488,0.7260709877942503,0.70964863762071,0.6878625749111309,0.6994273254984141,0.6977365378253986,0.67711081893881,0.6952699991100498,0.7177434391366477,0.7218791548496404,0.67711081893881,0.7125582203684393,0.7069621804785244,0.7118818918660239,0.7125582203684393,0.8400081626673085,0.9475359880517011,0.9459237619753333,0.940622396673968,0.9491321517590656,0.9514032140301278,0.9219238403283528,0.9361666268193263,0.9575481622862767,0.9499269304426436,0.9219238403283528,0.9518136711529138,0.9519892946162084,0.9631425678806824,0.9518136711529138,0.6634516947834288,0.7307643750703041,0.7348719939577129,0.725323043566703,0.7004026623177616,0.7175790344342377,0.7050964075819567,0.6899833473381629,0.7374086086758826,0.7389203340647784,0.7050964075819567,0.726402325876132,0.7221791442425968,0.7211642821134315,0.726402325876132
PREC,0.6913310692175734,0.7628949243741341,0.7640173526140156,0.783066418016614,0.7876575363847889,0.7484539153344054,0.7360030607003971,0.7847514787395837,0.73421798640746,0.7598772730811708,0.7360030607003971,0.7694815009572522,0.7746050929376186,0.7824059290723657,0.7694815009572522,0.6697775895982117,0.7859522815295861,0.7950004195566207,0.7987360390499366,0.7931325909242843,0.7853259234835374,0.731201579036436,0.7965740833074408,0.7470315002907206,0.7524299800287508,0.731201579036436,0.8003816239003833,0.7991654093455564,0.7883953313114603,0.8003816239003833,0.7262127562628772,0.7892164612420635,0.7825092574559358,0.7825969797855832,0.7705735524256652,0.7688474673091067,0.7489463623918563,0.7743277848691268,0.7771485904297423,0.772798513569455,0.7489463623918563,0.7821696035409506,0.7661099829831921,0.7727880265521824,0.7821696035409506,0.7676819370618975,0.8457075829001223,0.8338696835571836,0.8434528850250317,0.8366287490379491,0.8420505989931039,0.7537753221632073,0.834279277876868,0.8425002136752135,0.8284377554223841,0.7537753221632073,0.8416607533639866,0.8461920122887865,0.8444541317268591,0.8416607533639866,0.695101564554509,0.7769534500373917,0.7764091808666452,0.7851847174763533,0.803030800076782,0.7666031054425093,0.6926539180152751,0.8003914494713469,0.7428250387839241,0.7670978166789434,0.6926539180152751,0.7944591642171739,0.7886120073317342,0.7996477129908215,0.7944591642171739,0.8569789939192924,0.9585769445194335,0.9393121646978535,0.954020483890444,0.9674309101168536,0.9566928792978606,0.9243038329994852,0.9591247957869025,0.966922133194363,0.9440225854796974,0.9243038329994852,0.9574084474084474,0.962359777680987,0.9600607968565086,0.9574084474084474,0.6590241183676236,0.7779342120663731,0.7786482543295253,0.7956085449444082,0.7913206851420365,0.7771794842926507,0.72223026090732,0.7977068457597183,0.746315073245538,0.7563126748754545,0.72223026090732,0.7842079378524982,0.7932910411622276,0.7779169276484146,0.7842079378524982
SPEC,0.689493275967299,0.7810938023277091,0.7753988798010104,0.802193362741386,0.8092540344004397,0.7548138078210995,0.7516035089798904,0.8084043839327535,0.7348038443375688,0.7680377212173385,0.7516035089798904,0.7826773939309544,0.7931113736967104,0.7990599214966881,0.7826773939309544,0.6697938348200397,0.8014620599293609,0.8062437149206547,0.8200725812298673,0.8125741914607699,0.8024284631664717,0.7432481589277762,0.8182464844410839,0.7492376712320884,0.7609948973230847,0.7432481589277762,0.8167645876945752,0.815053705372436,0.801635089261841,0.8167645876945752,0.5543626664779786,0.6544541802286271,0.6403803638536408,0.6358647420475808,0.61768786263503,0.6101713917323144,0.6016516109250436,0.6144106247150023,0.6393820070129095,0.6263211314999135,0.6016516109250436,0.6355547824582921,0.593195905467239,0.6104819802820888,0.6355547824582921,0.7826551873219298,0.8581875848991606,0.8430439770459139,0.8573958519147651,0.8447537593472992,0.85959918293489,0.7647396038927884,0.8572590590113661,0.8577241270707148,0.8425305320494451,0.7647396038927884,0.853607447572071,0.8581192320838555,0.8536637471521258,0.853607447572071,0.6993549677781192,0.7909621834539232,0.7955107788607275,0.8116882249635469,0.8276199377466895,0.7857149914319221,0.6998216767577027,0.8258748675083984,0.7522011520775336,0.7810159089662336,0.6998216767577027,0.8158664499999808,0.8099063438302359,0.8206418232685749,0.8158664499999808,0.8311555518959203,0.9453350877750044,0.9234066985680197,0.9442100580135426,0.9607565317763338,0.9482977227573812,0.9023936904513145,0.9503201326404083,0.9617212736221997,0.9314864184861156,0.9023936904513145,0.9465234691482977,0.9535700377757486,0.9508930617404321,0.9465234691482977,0.6569909276802817,0.7892189630032268,0.7909057058980864,0.8126897076840779,0.814183372590637,0.793080172257597,0.7269912296595399,0.8245860457541717,0.7478257763023934,0.7623436178840746,0.7269912296595399,0.7996334996376249,0.8113857774240307,0.7929400215268071,0.7996334996376249
MCC,0.38268841937585196,0.4868564681914663,0.5001180729346435,0.516136932480486,0.519474801693342,0.4861635606008498,0.4413664687382968,0.5093980055077287,0.46493769025869447,0.5009926750366445,0.4413664687382968,0.506328925250118,0.5053579771470208,0.5218040064345476,0.506328925250118,0.33921981641615867,0.5332004507515258,0.5575980223596143,0.5405366936087522,0.5364216845794807,0.5299608618818943,0.4434584299346948,0.5356824246865454,0.49335143680835236,0.4879478072496465,0.4434584299346948,0.5551138616986929,0.554922479253211,0.5414322755437426,0.5551138616986929,0.3008925444873214,0.46667724164343927,0.4486155313520512,0.46244663080551474,0.4259362546985127,0.43054046158935944,0.34470287727100607,0.4568108663210664,0.4141402836513812,0.42315698472885777,0.34470287727100607,0.4600314884064945,0.43754189207698435,0.4475022340665868,0.4600314884064945,0.5026733465594548,0.6406822721094163,0.6321048227310342,0.6304571549377798,0.641501936103754,0.6117913025708839,0.48045737936968747,0.5758184586178468,0.6189652605506634,0.5987816824790778,0.48045737936968747,0.6358245587019471,0.6435811544637595,0.6481086848925695,0.6358245587019471,0.3856278577522178,0.5188003392412825,0.50728412523228,0.5037467425251472,0.532427646199459,0.4867681949636566,0.3771238292069185,0.5261013050451234,0.4703671144506968,0.5040171208801377,0.3771238292069185,0.5316074507467732,0.5204341924187589,0.5365601600152463,0.5316074507467732,0.6683712933474204,0.8939634610900813,0.8722324995356064,0.8853371691865648,0.9091258363238334,0.8996576712670867,0.8274354715796894,0.8858304839682134,0.9183295779892389,0.8818402091837421,0.8274354715796894,0.8993601007264183,0.9056181007221337,0.9149810198803762,0.8993601007264183,0.32030065573567035,0.5216595470566453,0.5265789129625122,0.540864921157438,0.5187580626753624,0.5128022100514255,0.43270893171012903,0.5194758294706311,0.4865969266928869,0.5014874634343205,0.43270893171012903,0.5277736559551475,0.5361834556986508,0.5161417315909359,0.5277736559551475
AUC,0.6912265746460678,0.8349308920388943,0.8327372454084949,0.8355142634150852,0.8357900884604558,0.8153803425452025,0.7888450022199394,0.8317257800683073,0.8087514633675846,0.8220472333111409,0.7888450022199394,0.8379786034782102,0.8055721553604327,0.7757638733187131,0.8379786034782102,0.669628765366241,0.8362254668129717,0.8387628707001898,0.8378396251880424,0.8404524205502402,0.8309117778111158,0.7734804808786071,0.830848303692455,0.8079509242974922,0.8149772901241856,0.7734804808786071,0.8471044453016809,0.8213939885437206,0.7954329597245786,0.8471044453016809,0.6490444903024606,0.829125426978669,0.8285172908250094,0.8196254136366685,0.8160611677682736,0.8128167403724564,0.7379127526593419,0.813684455085274,0.7854012736306805,0.8014955439029624,0.7379127526593419,0.8318138495462828,0.7776902883903464,0.7480232677829164,0.8318138495462828,0.7508705622994588,0.9141050005931319,0.9072892709650281,0.9113137613326183,0.9154627460266205,0.8818323530177391,0.8103850777061494,0.8610577773243424,0.8754199100044288,0.8560713427054182,0.8103850777061494,0.9174520471829443,0.8629906577431073,0.8436083140618562,0.9174520471829443,0.692681225037834,0.8459296279466815,0.8363305849601416,0.8324891690950633,0.8360379976353147,0.8190105535141287,0.7698604919364945,0.8300993458909073,0.8121350108110204,0.8194416715230993,0.7698604919364945,0.8432829790973309,0.8037485290851283,0.7873322169658907,0.8432829790973309,0.8355818572816144,0.9878010153169268,0.9843470622595977,0.9859487687770063,0.9908949803118151,0.9876088283052914,0.9714748276825252,0.9838989031623437,0.9895847596595699,0.980633520468935,0.9714748276825252,0.9895935161358345,0.972727076578334,0.9667164381376431,0.9895935161358345,0.6602213112318553,0.8496830188326152,0.8391902006940765,0.8482995717291706,0.8438460060435556,0.8331190841919225,0.790022730723254,0.8326967739001528,0.8227155629673202,0.8250877473537587,0.790022730723254,0.8514027588569011,0.8160787050477026,0.7857119595146844,0.8514027588569011
AUPR,0.632406158434722,0.86248461896993,0.8571934668338695,0.8597850596877326,0.8570090110797233,0.8467819704081829,0.8230832576910911,0.8559936251924725,0.8319130989593345,0.8452480679018081,0.8230832576910911,0.8653705893372212,0.7800383462624774,0.7286838752418084,0.8653705893372212,0.6140671279566743,0.8615054076034905,0.8646958438798468,0.8598863714311523,0.8613007208874629,0.8586903170588002,0.8063295972223277,0.8545950930656894,0.824902550285386,0.837431385628609,0.8063295972223277,0.8725260422656937,0.7984176262513472,0.7486542913548047,0.8725260422656937,0.6982331977005469,0.8958819653322234,0.8924804055123612,0.8912560307288274,0.8883864966457239,0.8853173614660207,0.8338879366830522,0.878333966441095,0.8580394422614127,0.8738566784130326,0.8338879366830522,0.8999550110825669,0.8046343789648956,0.7753962964841213,0.8999550110825669,0.6925038523594691,0.915010604351542,0.9107597097782885,0.9127232951449491,0.9127226764314493,0.8922340638015266,0.841466306212413,0.8726365866608624,0.8850138312824087,0.871733352693124,0.841466306212413,0.9185153428578561,0.827873921210033,0.8007832922895941,0.9185153428578561,0.6340144137726675,0.8690111306132261,0.8593152205939262,0.8546496956127119,0.8581430077741196,0.8474632918486696,0.7956246900923637,0.8536631521125321,0.8294728514320615,0.8352871460837996,0.7956246900923637,0.867671731139151,0.7765171032219593,0.7409473748630501,0.867671731139151,0.8074909494641848,0.9914552566347222,0.9890823746879397,0.9897379796919804,0.993408632765291,0.9910456776331621,0.978797641357172,0.9889207316653341,0.9921396056507772,0.985364375636802,0.978797641357172,0.9926587103782468,0.9667207589387656,0.9603626468511178,0.9926587103782468,0.6060685718781921,0.8692030580740493,0.8609909363318098,0.8665897010923418,0.8581791356460599,0.8563088983536105,0.8215537375085005,0.8535804820113897,0.8301298459537658,0.8372345636782225,0.8215537375085005,0.8716226449494965,0.7839690926965626,0.7400854469152666,0.8716226449494965
